x,y,z
-0.0957600027322769,-0.0942200049757957,-0.698320031166077
-0.100660003721714,-0.0967399999499321,-0.667380034923553
-0.107940003275871,-0.0905800014734268,-0.610680043697357
-0.120680004358292,-0.0855400040745735,-0.569100022315979
-0.123200006783009,-0.0802199989557266,-0.543200016021729
-0.131180003285408,-0.0680399984121323,-0.502040028572083
-0.137620002031326,-0.0470400005578995,-0.468720018863678
-0.147560000419617,-0.0296800006181002,-0.430360019207001
-0.152879998087883,-0.0134399998933077,-0.406700015068054
-0.154700011014938,0.00308000016957521,-0.383599996566772
-0.158760011196136,0.0317800007760525,-0.369040012359619
-0.164780005812645,0.0411600023508072,-0.343980014324188
-0.174440011382103,0.0645399987697601,-0.322420001029968
-0.182700008153915,0.0823200047016144,-0.311780005693436
-0.180600002408028,0.0954800024628639,-0.305900007486343
-0.188299998641014,0.113680005073547,-0.291620016098022
-0.194740012288094,0.136639997363091,-0.287699997425079
-0.202160000801086,0.160020008683205,-0.272300004959106
-0.204260006546974,0.169400006532669,-0.267680019140244
-0.211120009422302,0.180460005998611,-0.25382000207901
-0.217560008168221,0.202720001339912,-0.258440017700195
-0.221060007810593,0.218400001525879,-0.256200015544891
-0.222180008888245,0.236460000276566,-0.250880002975464
-0.226940006017685,0.256480008363724,-0.255640000104904
-0.232680007815361,0.263620018959045,-0.238560006022453
-0.237580001354218,0.272720009088516,-0.25424000620842
-0.244020000100136,0.287420004606247,-0.248780012130737
-0.244020000100136,0.29763999581337,-0.256339997053146
-0.249340012669563,0.315420001745224,-0.255360007286072
-0.257459998130798,0.320179998874664,-0.251300007104874
-0.264740020036697,0.321720004081726,-0.25900000333786
-0.266840010881424,0.330540001392365,-0.254519999027252
-0.271180003881454,0.338380008935928,-0.25857999920845
-0.277060002088547,0.344820022583008,-0.2637600004673
-0.281260013580322,0.351260006427765,-0.256900012493134
-0.281260013580322,0.354479998350143,-0.25857999920845
-0.284620016813278,0.3610600233078,-0.255780011415482
-0.294699996709824,0.363860011100769,-0.257320016622543
-0.292879998683929,0.363020002841949,-0.260960012674332
-0.292320013046265,0.354200005531311,-0.260120004415512
